[2023-11-15 08:25:14,247] [1  ] [81   ] [INFO ] [PORLA.HMI.Main.App                                                                   ] - Application Started!
[2023-11-15 08:25:15,632] [1  ] [83   ] [INFO ] [POLAR.DIOADAM6052.Adam6052Module2                                                    ] - [ADAM 6052 - Module 2] - Connected
[2023-11-15 08:25:15,751] [1  ] [117  ] [INFO ] [POLAR.DIOADAM6052.Adam6052Module1                                                    ] - [ADAM 6052 - Module 1] - Connected
[2023-11-15 08:25:19,920] [1  ] [962  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD - Respone Command: SCAN 6 0 1 1
[2023-11-15 08:25:19,945] [1  ] [962  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD - Respone Command: ENC 0 1 15
[2023-11-15 08:25:19,961] [1  ] [962  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD - Respone Command: NOP 10
[2023-11-15 08:25:19,977] [1  ] [962  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD - Respone Command: POD 1
[2023-11-15 08:25:19,991] [1  ] [962  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD - Respone Command: LAI 94.9838
[2023-11-15 08:25:20,004] [1  ] [962  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD - Respone Command: GAN 1
[2023-11-15 08:25:20,024] [1  ] [962  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD - Respone Command: SRI [ 1 ]
[2023-11-15 08:25:20,046] [1  ] [962  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD - Respone Command: ABE [ 0 ]
[2023-11-15 08:25:20,060] [1  ] [962  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD - Respone Command: AVS 1
[2023-11-15 08:25:20,072] [1  ] [962  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD - Respone Command: AVD 1
[2023-11-15 08:25:20,084] [1  ] [962  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD - Respone Command: LMA 1
[2023-11-15 08:25:20,096] [1  ] [962  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD - Respone Command: FLTI 0 0 0 0 0 0 0 -64 128 -64 0 0 0 0 0 0 0
[2023-11-15 08:25:20,109] [1  ] [962  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD - Respone Command: FLTC 0 0 0 0 0 0 0 -64 128 -64 0 0 0 0 0 0 0
[2023-11-15 08:25:20,131] [1  ] [242  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD_AreaScan - Set measure mode - Interferometric - MMD 1
[2023-11-15 08:25:20,152] [1  ] [227  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD_AreaScan - Set scan rate 50000
[2023-11-15 08:25:20,682] [1  ] [125  ] [INFO ] [POLAR.IAIMotionControl.IAIMotion                                                     ] - connected to IAI motion
[2023-11-15 08:25:20,703] [1  ] [126  ] [INFO ] [POLAR.IAIMotionControl.IAIMotion                                                     ] - Axis pattern: 03
[2023-11-15 08:25:20,705] [1  ] [127  ] [INFO ] [POLAR.IAIMotionControl.IAIMotion                                                     ] - Set Speed - 0032 and Acc/Dcc - 001E
[2023-11-15 08:25:20,709] [1  ] [416  ] [INFO ] [PORLA.HMI.Module.ViewModels.HomePageViewModel                                        ] - SVON
[2023-11-15 08:25:21,633] [1  ] [48   ] [INFO ] [PORLA.HMI.Module.ViewModels.VersionPageViewModel                                     ] - HMI Version:1.0.0.0
[2023-11-15 08:25:22,459] [1  ] [26   ] [INFO ] [PORLA.HMI.Module.DataService.DataHandle.DataHandle                                   ] - Module DataHandler Initialize Complete
[2023-11-15 08:25:22,862] [1  ] [271  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD_AreaScan - Set Device Ouput - 65,66,256,257,264,265,272,273,280,281,288,289,296,297,304,305,312,313
[2023-11-15 08:25:22,865] [1  ] [102  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD - Precitec: Initialized!
[2023-11-15 08:25:36,542] [1  ] [962  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD - Respone Command: ENC 0 0
[2023-11-15 08:25:43,915] [4  ] [962  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD - Respone Command: TRE
[2023-11-15 08:25:43,954] [4  ] [962  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD - Respone Command: AVD 10
[2023-11-15 08:25:43,966] [4  ] [962  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD - Respone Command: STR
[2023-11-15 08:25:44,018] [4  ] [695  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD_AreaScan - Save Data with index: 65 - 0, 66 -  1, 256 - 2
[2023-11-15 08:25:46,207] [4  ] [962  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD - Respone Command: TRE
[2023-11-15 08:25:46,230] [4  ] [962  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD - Respone Command: AVD 10
[2023-11-15 08:25:46,244] [4  ] [962  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD - Respone Command: STR
[2023-11-15 08:25:46,282] [4  ] [695  ] [INFO ] [POLAR.PrecitecControl.OneDAreaScan                                                   ] - OneD_AreaScan - Save Data with index: 65 - 0, 66 -  1, 256 - 2
